id,attributes,currency,price,product_id,store_id
1,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.69, ""estimated_cost_price"": 262.96}",INR,303,1,14
2,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.8, ""estimated_cost_price"": 262.88}",INR,306,1,40
3,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.62, ""estimated_cost_price"": 261.29}",INR,316,1,42
4,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.87, ""estimated_cost_price"": 308.8}",INR,334,1,7
5,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.49, ""estimated_cost_price"": 262.32}",INR,311,1,29
6,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.78, ""estimated_cost_price"": 1768.41}",INR,2246,2,42
7,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.87, ""estimated_cost_price"": 2027.42}",INR,2221,2,41
8,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.7, ""estimated_cost_price"": 1667.15}",INR,2104,2,1
9,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.21, ""estimated_cost_price"": 1524.14}",INR,1654,3,26
10,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.32, ""estimated_cost_price"": 2187.51}",INR,2729,3,37
11,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.65, ""estimated_cost_price"": 2316.14}",INR,2759,3,1
12,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.54, ""estimated_cost_price"": 1991.1}",INR,2241,3,33
13,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.41, ""estimated_cost_price"": 699.85}",INR,875,4,45
14,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.03, ""estimated_cost_price"": 526.61}",INR,643,4,53
15,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 4.37, ""estimated_cost_price"": 673.54}",INR,774,4,50
16,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.08, ""estimated_cost_price"": 761.34}",INR,897,4,31
17,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 3.94, ""estimated_cost_price"": 589.37}",INR,652,4,8
18,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""HIGH"", ""seller_score"": 3.99, ""estimated_cost_price"": 106.43}",INR,129,5,49
19,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.03, ""estimated_cost_price"": 112.55}",INR,132,5,50
20,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.81, ""estimated_cost_price"": 97.41}",INR,122,5,19
21,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.48, ""estimated_cost_price"": 142.27}",INR,167,5,42
22,"{""fulfillment"": ""Standard Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.39, ""estimated_cost_price"": 97.24}",INR,115,5,13
23,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.03, ""estimated_cost_price"": 2928.55}",INR,3351,6,41
24,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.39, ""estimated_cost_price"": 3704.35}",INR,4065,6,29
25,"{""fulfillment"": ""Fast Delivery"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.19, ""estimated_cost_price"": 1646.39}",INR,1966,7,47
26,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.11, ""estimated_cost_price"": 1493.83}",INR,1669,7,38
27,"{""fulfillment"": ""Next Day"", ""inventory_bucket"": ""LOW"", ""seller_score"": 4.87, ""estimated_cost_price"": 1493.29}",INR,1732,8,32
28,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.11, ""estimated_cost_price"": 1645.16}",INR,1965,8,35
29,"{""fulfillment"": ""Seller Fulfilled"", ""inventory_bucket"": ""MEDIUM"", ""seller_score"": 4.12, ""estimated_cost_price"": 1701.39}",INR,2045,8,54
