id,description,latitude,location,longitude,name,owner_id
1,Quick Hyderabad Bazaar is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.339834,"Hyderabad, India",78.648957,Quick Hyderabad Bazaar,1
2,Mega Visakhapatnam Outlet is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.770318,"Visakhapatnam, India",83.254017,Mega Visakhapatnam Outlet,3
3,Smart Kurnool Outlet is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.704267,"Kurnool, India",77.913458,Smart Kurnool Outlet,4
4,Prime Kadapa Bazaar is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.30821,"Kadapa, India",78.956023,Prime Kadapa Bazaar,8
5,Urban Guntur Mart is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.343101,"Guntur, India",80.511406,Urban Guntur Mart,11
6,Prime Guntur Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.13411,"Guntur, India",80.605668,Prime Guntur Shop,15
7,Nova Hyderabad Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.504679,"Hyderabad, India",78.383142,Nova Hyderabad Store,19
8,Nova Tirupati Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.514257,"Tirupati, India",79.305226,Nova Tirupati Shop,22
9,Elite Rajahmundry Cart is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.930027,"Rajahmundry, India",81.812912,Elite Rajahmundry Cart,23
10,Prime Anantapur Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.6574,"Anantapur, India",77.525442,Prime Anantapur Store,28
11,Daily Warangal Center is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,18.009167,"Warangal, India",79.464318,Daily Warangal Center,32
12,Smart Nellore Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.367772,"Nellore, India",79.93839,Smart Nellore Shop,34
13,Quick Kadapa Depot is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.451485,"Kadapa, India",78.926863,Quick Kadapa Depot,36
14,Smart Warangal Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.860783,"Warangal, India",79.599224,Smart Warangal Hub,40
15,Value Eluru Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.743969,"Eluru, India",80.931922,Value Eluru Hub,43
16,Elite Hyderabad Mart is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.423716,"Hyderabad, India",78.368089,Elite Hyderabad Mart,50
17,Trend Vijayawada Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.349619,"Vijayawada, India",80.809599,Trend Vijayawada Store,55
18,Urban Ongole Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.673328,"Ongole, India",80.160923,Urban Ongole Store,56
19,Urban Anantapur Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.611561,"Anantapur, India",77.455762,Urban Anantapur Hub,59
20,Elite Anantapur Outlet is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.748224,"Anantapur, India",77.579055,Elite Anantapur Outlet,63
21,Prime Hyderabad Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.248934,"Hyderabad, India",78.484964,Prime Hyderabad Shop,67
22,Smart Vijayawada Center is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.33858,"Vijayawada, India",80.795355,Smart Vijayawada Center,68
23,Prime Kakinada Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.902261,"Kakinada, India",82.306008,Prime Kakinada Store,69
24,Trend Tirupati Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.561016,"Tirupati, India",79.426424,Trend Tirupati Hub,80
25,Mega Eluru Market is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.727516,"Eluru, India",80.981748,Mega Eluru Market,84
26,Nova Kurnool Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.99715,"Kurnool, India",78.136348,Nova Kurnool Shop,86
27,Urban Tirupati Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.78702,"Tirupati, India",79.561338,Urban Tirupati Shop,88
28,Quick Tirupati Center is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.664044,"Tirupati, India",79.571075,Quick Tirupati Center,90
29,Trend Kurnool Cart is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.679957,"Kurnool, India",77.927854,Trend Kurnool Cart,95
30,Quick Hyderabad Depot is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.221282,"Hyderabad, India",78.423819,Quick Hyderabad Depot,98
31,Trend Rajahmundry Center is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.960424,"Rajahmundry, India",81.721686,Trend Rajahmundry Center,101
32,Mega Tirupati Cart is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.747146,"Tirupati, India",79.367631,Mega Tirupati Cart,107
33,Value Nellore Depot is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.363736,"Nellore, India",80.001871,Value Nellore Depot,116
34,Nova Tirupati Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.499533,"Tirupati, India",79.527991,Nova Tirupati Hub,120
35,Mega Tirupati Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.475638,"Tirupati, India",79.594479,Mega Tirupati Store,121
36,Quick Vijayawada Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.604208,"Vijayawada, India",80.539538,Quick Vijayawada Store,123
37,Trend Hyderabad Market is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.206988,"Hyderabad, India",78.600266,Trend Hyderabad Market,128
38,Nova Anantapur Bazaar is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.756369,"Anantapur, India",77.683043,Nova Anantapur Bazaar,132
39,Prime Eluru Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.808357,"Eluru, India",80.941856,Prime Eluru Shop,139
40,Mega Tirupati Market is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.577848,"Tirupati, India",79.280913,Mega Tirupati Market,143
41,Elite Kurnool Mart is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.958817,"Kurnool, India",78.081687,Elite Kurnool Mart,145
42,Trend Kadapa Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.406423,"Kadapa, India",78.667081,Trend Kadapa Store,146
43,Urban Warangal Outlet is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.900854,"Warangal, India",79.531166,Urban Warangal Outlet,147
44,Daily Anantapur Depot is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.764558,"Anantapur, India",77.650121,Daily Anantapur Depot,149
45,Mega Rajahmundry Bazaar is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.139897,"Rajahmundry, India",81.793997,Mega Rajahmundry Bazaar,152
46,Quick Ongole Bazaar is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.368754,"Ongole, India",80.126668,Quick Ongole Bazaar,153
47,Value Tirupati Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.722683,"Tirupati, India",79.44126,Value Tirupati Shop,154
48,Mega Vijayawada Outlet is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.603748,"Vijayawada, India",80.645766,Mega Vijayawada Outlet,157
49,Smart Kakinada Depot is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,16.997284,"Kakinada, India",82.221415,Smart Kakinada Depot,162
50,Value Anantapur Store is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.511051,"Anantapur, India",77.459441,Value Anantapur Store,166
51,Urban Warangal Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.800215,"Warangal, India",79.643208,Urban Warangal Hub,173
52,Nova Kurnool Depot is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,15.761268,"Kurnool, India",78.040385,Nova Kurnool Depot,176
53,Trend Tirupati Hub is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,13.775524,"Tirupati, India",79.328945,Trend Tirupati Hub,188
54,Value Nellore Shop is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,14.410338,"Nellore, India",80.078498,Value Nellore Shop,189
55,Trend Hyderabad Center is a fast-moving marketplace seller focused on reliable pricing and fulfillment.,17.287367,"Hyderabad, India",78.334413,Trend Hyderabad Center,192
