id,attributes,brand,description,name,sku,category_id
1,"{""rating"": 3.8, ""color"": ""Grey"", ""variant"": ""5kg"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Best Seller""}",Aashirvaad,Aashirvaad Biscuits Family Pack Plus 5kg in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Aashirvaad Biscuits Family Pack Plus 5kg,G-AASH-ABFP-0001,5
2,"{""rating"": 3.9, ""color"": ""Grey"", ""variant"": ""Grey"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Decathlon,Decathlon Yoga Mat Lite Grey in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Decathlon Yoga Mat Lite Grey,S-DECA-DYML-0002,7
3,"{""rating"": 4.4, ""color"": ""White"", ""variant"": ""42mm"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",Adidas,Adidas Yoga Mat Max 42mm in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Adidas Yoga Mat Max 42mm,S-ADID-AYMM-0003,7
4,"{""rating"": 4.2, ""color"": ""Blue"", ""variant"": ""Green"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Recommended""}",L'Oreal,L'Oreal Lipstick Lite Green in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,L'Oreal Lipstick Lite Green,B-LORE-LLLG-0004,4
5,"{""rating"": 3.9, ""color"": ""Silver"", ""variant"": ""Black"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Top Rated""}",Nivea,Nivea Perfume Core Black in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Nivea Perfume Core Black,B-NIVE-NPCB-0005,4
6,"{""rating"": 4.3, ""color"": ""Black"", ""variant"": ""Black"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Decathlon,Decathlon Cycling Helmet Plus Black in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Decathlon Cycling Helmet Plus Black,S-DECA-DCHP-0006,7
7,"{""rating"": 4.1, ""color"": ""White"", ""variant"": ""5kg"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Top Rated""}",Nike,Nike Women's Running Shoes Core 5kg in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Nike Women's Running Shoes Core 5kg,F-NIKE-NWRS-0007,3
8,"{""rating"": 4.4, ""color"": ""Grey"", ""variant"": ""5kg"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Recommended""}",Zara,Zara Formal Belt Air 5kg in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Zara Formal Belt Air 5kg,F-ZARA-ZFBA-0008,3
9,"{""rating"": 3.9, ""color"": ""Silver"", ""variant"": ""Black"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Adidas,Adidas Slim Fit Jeans Core Black in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Adidas Slim Fit Jeans Core Black,F-ADID-ASFJ-0009,3
10,"{""rating"": 4.0, ""color"": ""Black"", ""variant"": ""128GB"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": null}",Dettol,Dettol Wheat Flour 10kg Max 128GB in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Dettol Wheat Flour 10kg Max 128GB,G-DETT-DWF1-0010,5
11,"{""rating"": 4.0, ""color"": ""Black"", ""variant"": ""Silver"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Recommended""}",Aashirvaad,Aashirvaad Peanut Butter Pro Silver in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Aashirvaad Peanut Butter Pro Silver,G-AASH-APBP-0011,5
12,"{""rating"": 3.6, ""color"": ""White"", ""variant"": ""Small"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Top Rated""}",Nivea,Nivea Shampoo Neo Small in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Nivea Shampoo Neo Small,B-NIVE-NSNS-0012,4
13,"{""rating"": 4.2, ""color"": ""White"", ""variant"": ""Small"", ""is_prime_eligible"": false, ""warranty_months"": 6, ""amazon_style_tag"": null}",Dove,Dove Shampoo Neo Small in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Dove Shampoo Neo Small,B-DOVE-DSNS-0013,4
14,"{""rating"": 4.2, ""color"": ""Pink"", ""variant"": ""Silver"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",McGraw Hill,McGraw Hill Machine Learning Handbook Ultra Silver in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,McGraw Hill Machine Learning Handbook Ultra Silver,B-MCGR-MHML-0014,6
15,"{""rating"": 4.1, ""color"": ""White"", ""variant"": ""1L"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Limited Deal""}",Nike,Nike Cricket Bat Prime 1L in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Nike Cricket Bat Prime 1L,S-NIKE-NCBP-0015,7
16,"{""rating"": 4.0, ""color"": ""Blue"", ""variant"": ""Black"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Limited Deal""}",O'Reilly,O'Reilly Aptitude Preparation Book Plus Black in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,O'Reilly Aptitude Preparation Book Plus Black,B-OREI-OAPB-0016,6
17,"{""rating"": 3.6, ""color"": ""Silver"", ""variant"": ""Small"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Realme,Realme Bluetooth Speaker Max Small in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,Realme Bluetooth Speaker Max Small,E-REAL-RBSM-0017,1
18,"{""rating"": 4.0, ""color"": ""Red"", ""variant"": ""Blue"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Recommended""}",Lakme,Lakme Shampoo Lite Blue in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Lakme Shampoo Lite Blue,B-LAKM-LSLB-0018,4
19,"{""rating"": 4.0, ""color"": ""White"", ""variant"": ""Black"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Recommended""}",Penguin,Penguin Machine Learning Handbook Pro Black in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Penguin Machine Learning Handbook Pro Black,B-PENG-PMLH-0019,6
20,"{""rating"": 3.8, ""color"": ""Blue"", ""variant"": ""Large"", ""is_prime_eligible"": false, ""warranty_months"": 24, ""amazon_style_tag"": ""Recommended""}",Tata,Tata Sunflower Oil 1L Prime Large in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Tata Sunflower Oil 1L Prime Large,G-TATA-TSO1-0020,5
21,"{""rating"": 4.0, ""color"": ""White"", ""variant"": ""Green"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Roadster,Roadster Backpack Core Green in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Roadster Backpack Core Green,F-ROAD-RBCG-0021,3
22,"{""rating"": 4.2, ""color"": ""Grey"", ""variant"": ""2L"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Limited Deal""}",Mamaearth,Mamaearth Perfume Air 2L in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Mamaearth Perfume Air 2L,B-MAMA-MPA2-0022,4
23,"{""rating"": 4.8, ""color"": ""Blue"", ""variant"": ""2L"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Best Seller""}",Nivea,Nivea Shampoo Core 2L in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Nivea Shampoo Core 2L,B-NIVE-NSC2-0023,4
24,"{""rating"": 4.2, ""color"": ""Blue"", ""variant"": ""5kg"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Recommended""}",Arihant,Arihant Cyber Security Essentials Prime 5kg in Books category with marketplace-style pricing dynamics and seasonal demand shifts.,Arihant Cyber Security Essentials Prime 5kg,B-ARIH-ACSE-0024,6
25,"{""rating"": 4.2, ""color"": ""White"", ""variant"": ""Blue"", ""is_prime_eligible"": false, ""warranty_months"": 24, ""amazon_style_tag"": ""Limited Deal""}",Roadster,Roadster Slim Fit Jeans Neo Blue in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Roadster Slim Fit Jeans Neo Blue,F-ROAD-RSFJ-0025,3
26,"{""rating"": 4.1, ""color"": ""Black"", ""variant"": ""Large"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Recommended""}",Mi,Mi Mechanical Keyboard Plus Large in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,Mi Mechanical Keyboard Plus Large,E-MI-MMKP-0026,1
27,"{""rating"": 3.4, ""color"": ""Pink"", ""variant"": ""2L"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Recommended""}",Cosco,Cosco Football Edge 2L in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Cosco Football Edge 2L,S-COSC-CFE2-0027,7
28,"{""rating"": 4.1, ""color"": ""Grey"", ""variant"": ""Silver"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",Puma,Puma Backpack Pro Silver in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Puma Backpack Pro Silver,F-PUMA-PBPS-0028,3
29,"{""rating"": 4.1, ""color"": ""Silver"", ""variant"": ""5kg"", ""is_prime_eligible"": false, ""warranty_months"": 12, ""amazon_style_tag"": ""Top Rated""}",Nike,Nike Dumbbell Pair Ultra 5kg in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Nike Dumbbell Pair Ultra 5kg,S-NIKE-NDPU-0029,7
30,"{""rating"": 4.9, ""color"": ""Pink"", ""variant"": ""Large"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Best Seller""}",Yonex,Yonex Cricket Bat Edge Large in Sports category with marketplace-style pricing dynamics and seasonal demand shifts.,Yonex Cricket Bat Edge Large,S-YONE-YCBE-0030,7
31,"{""rating"": 4.0, ""color"": ""Red"", ""variant"": ""128GB"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Best Seller""}",Boat,Boat Wireless Earbuds Prime 128GB in Electronics category with marketplace-style pricing dynamics and seasonal demand shifts.,Boat Wireless Earbuds Prime 128GB,E-BOAT-BWEP-0031,1
32,"{""rating"": 4.2, ""color"": ""Silver"", ""variant"": ""Silver"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Recommended""}",Wonderchef,Wonderchef Water Bottle Core Silver in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Wonderchef Water Bottle Core Silver,H&K-WOND-WWBC-0032,2
33,"{""rating"": 4.1, ""color"": ""Grey"", ""variant"": ""Silver"", ""is_prime_eligible"": true, ""warranty_months"": 6, ""amazon_style_tag"": ""Recommended""}",Wonderchef,Wonderchef Lunch Box Prime Silver in Home & Kitchen category with marketplace-style pricing dynamics and seasonal demand shifts.,Wonderchef Lunch Box Prime Silver,H&K-WOND-WLBP-0033,2
34,"{""rating"": 3.7, ""color"": ""Black"", ""variant"": ""Red"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": null}",Dove,Dove Face Serum Neo Red in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Dove Face Serum Neo Red,B-DOVE-DFSN-0034,4
35,"{""rating"": 4.5, ""color"": ""White"", ""variant"": ""Green"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": null}",Mamaearth,Mamaearth Body Lotion Air Green in Beauty category with marketplace-style pricing dynamics and seasonal demand shifts.,Mamaearth Body Lotion Air Green,B-MAMA-MBLA-0035,4
36,"{""rating"": 4.4, ""color"": ""Silver"", ""variant"": ""1L"", ""is_prime_eligible"": true, ""warranty_months"": 24, ""amazon_style_tag"": ""Top Rated""}",Tata,Tata Coffee Jar Core 1L in Groceries category with marketplace-style pricing dynamics and seasonal demand shifts.,Tata Coffee Jar Core 1L,G-TATA-TCJC-0036,5
37,"{""rating"": 4.4, ""color"": ""Red"", ""variant"": ""1L"", ""is_prime_eligible"": true, ""warranty_months"": 12, ""amazon_style_tag"": ""Limited Deal""}",Zara,Zara Slim Fit Jeans Lite 1L in Fashion category with marketplace-style pricing dynamics and seasonal demand shifts.,Zara Slim Fit Jeans Lite 1L,F-ZARA-ZSFJ-0037,3
